wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
602,68.563152,0.9274565376187,712.6
603,68.423508,0.925567567567568,712.6
604,68.283864,0.923678597516435,712.6
605,68.14422,0.921789627465303,712.6
606,68.004576,0.919900657414171,712.6
607,67.864932,0.918011687363039,712.6
608,67.725288,0.916122717311907,712.6
609,67.585644,0.914233747260774,712.6
610,67.446,0.912344777209642,712.6
611,67.36986,0.911314828341855,712.6
612,67.29372,0.910284879474068,712.6
613,67.21758,0.909254930606282,712.6
614,67.14144,0.908224981738495,712.6
615,67.0653,0.907195032870708,712.6
616,66.98916,0.906165084002922,712.6
617,66.91302,0.905135135135135,712.6
618,66.83688,0.904105186267348,712.6
619,66.76074,0.903075237399562,712.6
620,66.6846,0.902045288531775,712.6
621,66.623688,0.901221329437546,712.6
622,66.562776,0.900397370343316,712.6
623,66.501864,0.899573411249087,712.6
624,66.440952,0.898749452154857,712.6
625,66.38004,0.897925493060628,712.6
626,66.319128,0.897101533966399,712.6
627,66.258216,0.89627757487217,712.6
628,66.197304,0.89545361577794,712.6
629,66.136392,0.894629656683711,712.6
630,66.07548,0.893805697589481,712.6
631,66.051288,0.893478451424397,712.6
632,66.027096,0.893151205259313,712.6
633,66.002904,0.892823959094229,712.6
634,65.978712,0.892496712929145,712.6
635,65.95452,0.892169466764061,712.6
636,65.930328,0.891842220598977,712.6
637,65.906136,0.891514974433893,712.6
638,65.881944,0.891187728268809,712.6
639,65.857752,0.890860482103725,712.6
640,65.83356,0.890533235938641,712.6
641,65.680524,0.888463111760409,712.6
642,65.527488,0.886392987582177,712.6
643,65.374452,0.884322863403945,712.6
644,65.221416,0.882252739225712,712.6
645,65.06838,0.88018261504748,712.6
646,64.915344,0.878112490869248,712.6
647,64.762308,0.876042366691015,712.6
648,64.609272,0.873972242512783,712.6
649,64.456236,0.871902118334551,712.6
650,64.3032,0.869831994156319,712.6
651,64.246932,0.869070854638422,712.6
652,64.190664,0.868309715120526,712.6
653,64.134396,0.86754857560263,712.6
654,64.078128,0.866787436084734,712.6
655,64.02186,0.866026296566837,712.6
